id,name,family,region,design_role,combat_identity,prototype_mechanical_role,element,attack_base,basic_category,base_hp,base_attack,speed,ready_seconds,arena_move_per_second,basic_reach,passive_id,passive,passive_description,skills,default_three,habitat,source_level,sheet_source_level,encounter_source,map_species_count,availability_percent,recheck_seconds,echo_percent,live_loot_json,xp_per_participating_individual,future_boss_essence_json,proposed_not_live_loot_json,silhouette_brief,animation_brief,art_status,all_habitats_json
lotusmanta,Lotusmanta,Aquatic,Willowbrook,Supp,Wide-area support,Support,Water,Int-Based,magic,477,21,51.948051948051955,1.9249999999999998,8,34,innate-lotusmanta,Lotus Shelter,"While Lotusmanta lives, allies take 20% less secondary/splash damage from enemy actives. The primary target's damage is unchanged; single-target attacks gain no reduction.",sig-lotusmanta-petal-sip=Petal Sip; sig-lotusmanta-layered-petals=Layered Petals; sig-lotusmanta-serene-tide=Serene Tide; general-basic-heal=Basic Heal; lotusmanta_0=Lotus Healing Ripples; lotusmanta_1=Lotus Springwater; lotusmanta_2=Lotus Guiding Lantern; lotusmanta_3=Lotus Aurora; lotusmanta_4=Lotus Bubble Ward,sig-lotusmanta-petal-sip; sig-lotusmanta-layered-petals; sig-lotusmanta-serene-tide,brook-1,16,16,Wild,3,100.0,60,15.0,"[{""id"": ""coins"", ""quantity"": 11, ""chanceBP"": 10000}, {""id"": ""echo:lotusmanta"", ""quantity"": 1, ""chanceBP"": 1500}]",1900,null,"[{""id"": ""riverpearl"", ""name"": ""River Glass"", ""quantity"": 1, ""chanceBP"": 2500, ""use"": ""Water-themed Inner Sea ornaments"", ""status"": ""PLANNED_NOT_LIVE""}]","A broad manta has layered, petal-like fins, a short curling tail and a serene face set beneath the front edge of its body.",Single supplied pose with transform-based motion; authored frame animation pending.,Supplied PNG integrated; commercial art/motion review pending,"[{""id"": ""brook-1:lotusmanta"", ""map"": ""brook-1"", ""mapName"": ""Rainwillow Forest"", ""level"": 16, ""spawnSlots"": 3, ""spawnChanceBP"": 10000, ""respawnSeconds"": 60, ""x"": 7370, ""y"": 6585.6, ""radiusWorldUnits"": 200}]"
ripplelynx,Rillblade,Aquatic,Willowbrook,DPS,Close-range dash DPS,Melee DPS,Water,Dex-Based,ranged,600,44,58.82352941176471,1.7,10,12,innate-ripplelynx,Clean Current,Three consecutive landed basic attacks grant Precision for 3s: the next damaging active gains +0.60 ATK physical damage. A miss resets the basic count; only one Precision can be stored.,sig-ripplelynx-fin-carve=Fin Carve; sig-ripplelynx-silver-current=Silver Current; sig-ripplelynx-rill-sever=Rill Sever; general-fortify=Fortify; ripplelynx_0=Ripple Frostbite; ripplelynx_1=Ripple Ice Pounce; ripplelynx_2=Ripple Pack Rush; ripplelynx_3=Ripple Snowhide; ripplelynx_4=Ripple Wild Lunge,sig-ripplelynx-fin-carve; sig-ripplelynx-silver-current; sig-ripplelynx-rill-sever,brook-1,18,18,Wild,15,100.0,0,15.0,"[{""id"": ""coins"", ""quantity"": 12, ""chanceBP"": 10000}, {""id"": ""echo:ripplelynx"", ""quantity"": 1, ""chanceBP"": 1500}]",2100,null,"[{""id"": ""riverpearl"", ""name"": ""River Glass"", ""quantity"": 1, ""chanceBP"": 2500, ""use"": ""Water-themed Inner Sea ornaments"", ""status"": ""PLANNED_NOT_LIVE""}]","A narrow silver fish has four long, scythe-shaped fins and a ribbon tail; a thin loop of water holds it above the ground.",Single supplied pose with transform-based motion; authored frame animation pending.,Supplied PNG integrated; commercial art/motion review pending,"[{""id"": ""brook-1:ripplelynx"", ""map"": ""brook-1"", ""mapName"": ""Rainwillow Forest"", ""level"": 18, ""spawnSlots"": 15, ""spawnChanceBP"": 10000, ""respawnSeconds"": 0, ""x"": 9460, ""y"": 5556.6, ""radiusWorldUnits"": 200}]"
rainram,Pluvault,Construct,Willowbrook,Tank / Supp,Reservoir tank,Tank,Water,Int-Based,magic,968,25,45.45454545454545,2.2,5.6,34,innate-rainram,Rain Reserve,"Store 20% of actual enemy HP damage taken as Water, capped at 10% max HP. Water is a resource, not extra damage reduction; redirected damage cannot fill it.",sig-rainram-gutter-jet=Gutter Jet; sig-rainram-open-the-cistern=Open the Cistern; sig-rainram-heavy-lid=Heavy Lid; general-greater-heal=Greater Heal; rainram_0=Rain Antler Rush; rainram_1=Rain Fortify; rainram_2=Rain Bondguard; rainram_3=Rain Riptide; rainram_4=Rain Lifebud,sig-rainram-gutter-jet; sig-rainram-open-the-cistern; sig-rainram-heavy-lid,brook-2,16,16,Wild,15,100.0,0,15.0,"[{""id"": ""coins"", ""quantity"": 11, ""chanceBP"": 10000}, {""id"": ""echo:rainram"", ""quantity"": 1, ""chanceBP"": 1500}]",1900,null,"[{""id"": ""riverpearl"", ""name"": ""River Glass"", ""quantity"": 1, ""chanceBP"": 2500, ""use"": ""Water-themed Inner Sea ornaments"", ""status"": ""PLANNED_NOT_LIVE""}]","A round ceramic cistern walks on four squat feet, with gutter-shaped arms and a small face beneath its heavy lid.",Single supplied pose with transform-based motion; authored frame animation pending.,Supplied PNG integrated; commercial art/motion review pending,"[{""id"": ""brook-2:rainram"", ""map"": ""brook-2"", ""mapName"": ""Reedwatch Banks"", ""level"": 16, ""spawnSlots"": 15, ""spawnChanceBP"": 10000, ""respawnSeconds"": 0, ""x"": 1370.3999999999999, ""y"": 5040, ""radiusWorldUnits"": 200}]"
driftjelly,Driftjelly,Aquatic,Willowbrook,DPS / Supp,Ranged slowing support,Support,Water,Int-Based,magic,501,23,51.948051948051955,1.9249999999999998,8,34,innate-driftjelly,Numbing Film,Damaging signatures apply Numb for 3s: reduce the target's CRIT chance by 10 points. Does not affect noncritical damage; cannot lower chance below zero.,sig-driftjelly-nettle-ribbon=Nettle Ribbon; sig-driftjelly-jelly-veil=Jelly Veil; sig-driftjelly-deep-sting=Deep Sting; general-focused-attack=Focused Attack; general-greater-heal=Greater Heal; driftjelly_0=Drift Moondust; driftjelly_1=Drift Bubble Ward; driftjelly_2=Drift Riptide; driftjelly_3=Drift Fresh Start; driftjelly_4=Drift Aurora,sig-driftjelly-nettle-ribbon; sig-driftjelly-jelly-veil; sig-driftjelly-deep-sting,brook-2,18,18,Wild,15,100.0,0,15.0,"[{""id"": ""coins"", ""quantity"": 12, ""chanceBP"": 10000}, {""id"": ""echo:driftjelly"", ""quantity"": 1, ""chanceBP"": 1500}]",2100,null,"[{""id"": ""riverpearl"", ""name"": ""River Glass"", ""quantity"": 1, ""chanceBP"": 2500, ""use"": ""Water-themed Inner Sea ornaments"", ""status"": ""PLANNED_NOT_LIVE""}]","A soft jelly has a cap tilted far to one side, a tiny sleepy face and three unequal ribbon-like arms beneath its clear rim.",Single supplied pose with transform-based motion; authored frame animation pending.,Supplied PNG integrated; commercial art/motion review pending,"[{""id"": ""brook-2:driftjelly"", ""map"": ""brook-2"", ""mapName"": ""Reedwatch Banks"", ""level"": 18, ""spawnSlots"": 15, ""spawnChanceBP"": 10000, ""respawnSeconds"": 0, ""x"": 3882.8, ""y"": 3885, ""radiusWorldUnits"": 200}]"
mudmole,Burrowlug,Plant / fungus,Willowbrook,Tank,Entrenched tank,Tank,Earth,Strength-based,melee,984,26,44.44444444444444,2.25,5.6,12,innate-mudmole,Set Roots,"After attacking the same normal target for 2s, gain 12% damage reduction. Remains active while that target lives; resets on a death-based normal target switch, not on a temporary skill target.",sig-mudmole-root-mitten-thump=Root-Mitten Thump; sig-mudmole-earth-pantry=Earth Pantry; sig-mudmole-tuber-rampart=Tuber Rampart; general-fortify=Fortify; mudmole_0=Mud Boulder Toss; mudmole_1=Mud Pebble Slam; mudmole_2=Mud Carapace; mudmole_3=Mud Wildguard; mudmole_4=Mud Lifebud,sig-mudmole-root-mitten-thump; sig-mudmole-earth-pantry; sig-mudmole-tuber-rampart,brook-2,20,20,Wild,3,100.0,60,15.0,"[{""id"": ""coins"", ""quantity"": 12, ""chanceBP"": 10000}, {""id"": ""echo:mudmole"", ""quantity"": 1, ""chanceBP"": 1500}]",2300,null,"[{""id"": ""riverpearl"", ""name"": ""River Glass"", ""quantity"": 1, ""chanceBP"": 2500, ""use"": ""Water-themed Inner Sea ornaments"", ""status"": ""PLANNED_NOT_LIVE""}]","A chunky tuber creature has root-mitten forearms, a tiny leafy crown and an earthy face set low in its broad belly.",Single supplied pose with transform-based motion; authored frame animation pending.,Supplied PNG integrated; commercial art/motion review pending,"[{""id"": ""brook-2:mudmole"", ""map"": ""brook-2"", ""mapName"": ""Reedwatch Banks"", ""level"": 20, ""spawnSlots"": 3, ""spawnChanceBP"": 10000, ""respawnSeconds"": 60, ""x"": 7423, ""y"": 4200, ""radiusWorldUnits"": 200}]"
heronveil,Veilheron,Avian,Willowbrook,DPS,Precision ranged DPS,Ranged DPS,Wind,Dex-Based,ranged,521,38,54.05405405405405,1.85,8,34,innate-heronveil,Pristine Opening,"Direct hits against enemies above 80% HP ignore 8 points of physical mitigation. Against enemies below that threshold, gain no passive damage bonus.",sig-heronveil-needle-beak=Needle Beak; sig-heronveil-draped-wing=Draped Wing; sig-heronveil-part-the-veil=Part the Veil; general-focused-attack=Focused Attack; general-rally=Rally; heronveil_0=Heron Skyneedle; heronveil_1=Heron Chain Spark; heronveil_2=Heron Headwind; heronveil_3=Heron Tailwind; heronveil_4=Heron Snowhide,sig-heronveil-needle-beak; sig-heronveil-draped-wing; sig-heronveil-part-the-veil,brook-2,22,22,Wild,15,100.0,0,15.0,"[{""id"": ""coins"", ""quantity"": 13, ""chanceBP"": 10000}, {""id"": ""echo:heronveil"", ""quantity"": 1, ""chanceBP"": 1500}]",2500,null,"[{""id"": ""riverpearl"", ""name"": ""River Glass"", ""quantity"": 1, ""chanceBP"": 2500, ""use"": ""Water-themed Inner Sea ornaments"", ""status"": ""PLANNED_NOT_LIVE""}]","A narrow heron hides its body behind one long, draped wing, leaving a needle beak and two delicate black legs exposed.",Single supplied pose with transform-based motion; authored frame animation pending.,Supplied PNG integrated; commercial art/motion review pending,"[{""id"": ""brook-2:heronveil"", ""map"": ""brook-2"", ""mapName"": ""Reedwatch Banks"", ""level"": 22, ""spawnSlots"": 15, ""spawnChanceBP"": 10000, ""respawnSeconds"": 0, ""x"": 9707, ""y"": 5250, ""radiusWorldUnits"": 200}]"
siltwyrm,Silkstep,Skeletal / undead,Willowbrook,DPS,Ambush melee DPS,Melee DPS,Earth,Dex-Based,ranged,584,43,59.70149253731344,1.6749999999999998,10,12,innate-siltwyrm,Threaded Entrance,"On initial normal target acquisition and after a death-based target switch, gain Shroud for 2s: evade the next eligible enemy basic attack, then consume Shroud. At most once every 3s; never triggered by taunt.",sig-siltwyrm-silkbone-jab=Silkbone Jab; sig-siltwyrm-loose-hem=Loose Hem; sig-siltwyrm-severed-stitch=Severed Stitch; general-focused-attack=Focused Attack; general-fortify=Fortify; siltwyrm_0=Silt Wild Lunge; siltwyrm_1=Silt Antler Rush; siltwyrm_2=Silt Rootbind; siltwyrm_3=Silt Fortify; siltwyrm_4=Silt Pounce,sig-siltwyrm-silkbone-jab; sig-siltwyrm-loose-hem; sig-siltwyrm-severed-stitch,brook-3,20,20,Wild,3,100.0,60,15.0,"[{""id"": ""coins"", ""quantity"": 12, ""chanceBP"": 10000}, {""id"": ""echo:siltwyrm"", ""quantity"": 1, ""chanceBP"": 1500}]",2300,null,"[{""id"": ""riverpearl"", ""name"": ""River Glass"", ""quantity"": 1, ""chanceBP"": 2500, ""use"": ""Water-themed Inner Sea ornaments"", ""status"": ""PLANNED_NOT_LIVE""}]","A tiny hooded skeleton has four long, spring-bent limbs, a rounded skull and two little tooth tips beneath its bright eyes.",Single supplied pose with transform-based motion; authored frame animation pending.,Supplied PNG integrated; commercial art/motion review pending,"[{""id"": ""brook-3:siltwyrm"", ""map"": ""brook-3"", ""mapName"": ""Springwater Cave"", ""level"": 20, ""spawnSlots"": 3, ""spawnChanceBP"": 10000, ""respawnSeconds"": 60, ""x"": 1657.6000000000001, ""y"": 5140.8, ""radiusWorldUnits"": 200}]"
coralimp,Reefvault,Invertebrate,Willowbrook,DPS,Leaping ranged DPS,Ranged DPS,Water,Strength-based,melee,537,39,52.63157894736842,1.9000000000000001,8,12,innate-coralimp,Long Lever,Direct attacks ignore 6 points of physical mitigation while Reefvault is above 60% HP. The bonus is lost immediately below that threshold.,sig-coralimp-branchleg-kick=Branchleg Kick; sig-coralimp-tendon-lock=Tendon Lock; sig-coralimp-shellwhite-breaker=Shellwhite Breaker; general-focused-attack=Focused Attack; general-fortify=Fortify; coralimp_0=Coral Frostbolt; coralimp_1=Coral Arc Nova; coralimp_2=Coral Riptide; coralimp_3=Coral Bubble Ward; coralimp_4=Coral Comet,sig-coralimp-branchleg-kick; sig-coralimp-tendon-lock; sig-coralimp-shellwhite-breaker,brook-3,22,22,Wild,15,100.0,0,15.0,"[{""id"": ""coins"", ""quantity"": 13, ""chanceBP"": 10000}, {""id"": ""echo:coralimp"", ""quantity"": 1, ""chanceBP"": 1500}]",2500,null,"[{""id"": ""riverpearl"", ""name"": ""River Glass"", ""quantity"": 1, ""chanceBP"": 2500, ""use"": ""Water-themed Inner Sea ornaments"", ""status"": ""PLANNED_NOT_LIVE""}]","A narrow hopper balances on two long, branching hind legs, with a small crested head and a smooth, shell-white abdomen.",Single supplied pose with transform-based motion; authored frame animation pending.,Supplied PNG integrated; commercial art/motion review pending,"[{""id"": ""brook-3:coralimp"", ""map"": ""brook-3"", ""mapName"": ""Springwater Cave"", ""level"": 22, ""spawnSlots"": 15, ""spawnChanceBP"": 10000, ""respawnSeconds"": 0, ""x"": 4499.2, ""y"": 3213, ""radiusWorldUnits"": 200}]"
lilydeer,Lilydeer,Beast,Willowbrook,Supp,Terrain support,Support,Earth,Int-Based,magic,485,22,52.631578947368425,1.9,8,34,innate-lilydeer,Antler Buds,"Each damaging active that lands grows one Bud, maximum 3. Healing an ally consumes all Buds for an additional 0.25 MATK healing per Bud, once per cast.",sig-lilydeer-petal-lance=Petal Lance; sig-lilydeer-shelf-of-blossoms=Shelf of Blossoms; sig-lilydeer-blooming-antlers=Blooming Antlers; general-greater-heal=Greater Heal; lilydeer_0=Lily Grove Renewal; lilydeer_1=Lily Petal Ward; lilydeer_2=Lily Rootbind; lilydeer_3=Lily Lifebud; lilydeer_4=Lily Springstep,sig-lilydeer-petal-lance; sig-lilydeer-shelf-of-blossoms; sig-lilydeer-blooming-antlers,brook-3,24,24,Wild,3,100.0,60,15.0,"[{""id"": ""coins"", ""quantity"": 14, ""chanceBP"": 10000}, {""id"": ""echo:lilydeer"", ""quantity"": 1, ""chanceBP"": 1500}]",2700,null,"[{""id"": ""riverpearl"", ""name"": ""River Glass"", ""quantity"": 1, ""chanceBP"": 2500, ""use"": ""Water-themed Inner Sea ornaments"", ""status"": ""PLANNED_NOT_LIVE""}]","A slender deer carries broad, shallow antlers like leafy shelves, with small buds nestled close to its long, gentle face.",Single supplied pose with transform-based motion; authored frame animation pending.,Supplied PNG integrated; commercial art/motion review pending,"[{""id"": ""brook-3:lilydeer"", ""map"": ""brook-3"", ""mapName"": ""Springwater Cave"", ""level"": 24, ""spawnSlots"": 3, ""spawnChanceBP"": 10000, ""respawnSeconds"": 60, ""x"": 8406.4, ""y"": 6961.5, ""radiusWorldUnits"": 200}]"
mistseal,Mistmelt,Elemental / abstract,Willowbrook,Tank / Supp,Defensive zone support,Support,Water,Strength-based,melee,493,22,51.948051948051955,1.9249999999999998,8,12,innate-mistseal,Hollow Body,Take 12% less direct physical damage but 10% more direct magic damage. DoTs are unchanged.,sig-mistseal-mistfist=Mistfist; sig-mistseal-close-the-hollow=Close the Hollow; sig-mistseal-condensed-blow=Condensed Blow; general-focused-attack=Focused Attack; general-brace=Brace; general-fortify=Fortify; mistseal_0=Mist Springwater; mistseal_1=Mist Healing Ripples; mistseal_2=Mist Snowhide; mistseal_3=Mist Fresh Start; mistseal_4=Mist Frostbolt,sig-mistseal-mistfist; sig-mistseal-close-the-hollow; sig-mistseal-condensed-blow,brook-3,26,26,Wild,15,100.0,0,15.0,"[{""id"": ""coins"", ""quantity"": 14, ""chanceBP"": 10000}, {""id"": ""echo:mistseal"", ""quantity"": 1, ""chanceBP"": 1500}]",2900,null,"[{""id"": ""riverpearl"", ""name"": ""River Glass"", ""quantity"": 1, ""chanceBP"": 2500, ""use"": ""Water-themed Inner Sea ornaments"", ""status"": ""PLANNED_NOT_LIVE""}]","A broad mist body has two drooping arm-lobes, small dark eyes and a clean oval window passing straight through its torso.",Single supplied pose with transform-based motion; authored frame animation pending.,Supplied PNG integrated; commercial art/motion review pending,"[{""id"": ""brook-3:mistseal"", ""map"": ""brook-3"", ""mapName"": ""Springwater Cave"", ""level"": 26, ""spawnSlots"": 15, ""spawnChanceBP"": 10000, ""respawnSeconds"": 0, ""x"": 10182.4, ""y"": 5783.400000000001, ""radiusWorldUnits"": 200}]"
copperhog,Bellowsnout,Beast,Amber Hollow,Fighter,Pressure brawler,Tank,Fire,Strength-based,melee,976,26,44.44444444444444,2.25,5.6,12,innate-copperhog,Bellows Cycle,"Every two landed basic attacks grant one Pressure, maximum 2. Casting a damaging active spends all Pressure for +0.30 ATK physical damage per stack, added once to that cast.",sig-copperhog-snout-piston=Snout Piston; sig-copperhog-deep-intake=Deep Intake; sig-copperhog-boiler-bellow=Boiler Bellow; general-battle-rhythm=Battle Rhythm; copperhog_0=Copper Pebble Slam; copperhog_1=Copper Fortify; copperhog_2=Copper Bondguard; copperhog_3=Copper Scorch; copperhog_4=Copper Rallying Ward,sig-copperhog-snout-piston; sig-copperhog-deep-intake; sig-copperhog-boiler-bellow,hollow-0,24,24,Wild,15,100.0,0,15.0,"[{""id"": ""coins"", ""quantity"": 14, ""chanceBP"": 10000}, {""id"": ""echo:copperhog"", ""quantity"": 1, ""chanceBP"": 1500}]",2700,null,"[{""id"": ""amberresin"", ""name"": ""Amber Resin"", ""quantity"": 1, ""chanceBP"": 2500, ""use"": ""Warm lantern housings"", ""status"": ""PLANNED_NOT_LIVE""}]","A barrel-bodied boar with an accordion-fold chest, a flattened shovel snout and copper-colored bristles swept into one crest.",Single supplied pose with transform-based motion; authored frame animation pending.,Supplied PNG integrated; commercial art/motion review pending,"[{""id"": ""hollow-0:copperhog"", ""map"": ""hollow-0"", ""mapName"": ""Amber Heath"", ""level"": 24, ""spawnSlots"": 15, ""spawnChanceBP"": 10000, ""respawnSeconds"": 0, ""x"": 7248.8, ""y"": 3326.4, ""radiusWorldUnits"": 200}]"
amberkite,Amberkite,Construct,Amber Hollow,DPS,Aerial ranged DPS,Ranged DPS,Wind,Int-Based,magic,569,41,54.05405405405405,1.85,8,34,innate-amberkite,Carry the Forecast,"If the target of an unresolved delayed signature dies, that effect transfers once to Amberkite's new normal legal target at 50% damage.",sig-amberkite-amber-dart=Amber Dart; sig-amberkite-folded-forecast=Folded Forecast; sig-amberkite-unfurl-the-sun=Unfurl the Sun; general-basic-heal=Basic Heal; amberkite_0=Amber Skyneedle; amberkite_1=Amber Headwind; amberkite_2=Amber Chain Spark; amberkite_3=Amber Quickstep; amberkite_4=Amber Tailwind,sig-amberkite-amber-dart; sig-amberkite-folded-forecast; sig-amberkite-unfurl-the-sun,hollow-0,26,26,Wild,15,100.0,0,15.0,"[{""id"": ""coins"", ""quantity"": 14, ""chanceBP"": 10000}, {""id"": ""echo:amberkite"", ""quantity"": 1, ""chanceBP"": 1500}]",2900,null,"[{""id"": ""amberresin"", ""name"": ""Amber Resin"", ""quantity"": 1, ""chanceBP"": 2500, ""use"": ""Warm lantern housings"", ""status"": ""PLANNED_NOT_LIVE""}]","A diamond-shaped paper being stretches over curved amber ribs, with a tiny central face and two long, split ribbon tails.",Single supplied pose with transform-based motion; authored frame animation pending.,Supplied PNG integrated; commercial art/motion review pending,"[{""id"": ""hollow-0:amberkite"", ""map"": ""hollow-0"", ""mapName"": ""Amber Heath"", ""level"": 26, ""spawnSlots"": 15, ""spawnChanceBP"": 10000, ""respawnSeconds"": 0, ""x"": 8954.4, ""y"": 4636.8, ""radiusWorldUnits"": 200}]"
cindermole,Cindertroop,Collective,Amber Hollow,Fighter,Formation melee fighter,Melee DPS,Fire,Strength-based,melee,576,42,59.70149253731344,1.6749999999999998,10,12,innate-cindermole,Colony Command,Begin battle with one Soldier Ant for 6s. Cindertroop's Soldier Ants deal 15% more damage while attacking the same target as the queen.,sig-cindermole-queen-s-sting=Queen's Sting; sig-cindermole-brood-call=Brood Call; sig-cindermole-swarm-screen=Swarm Screen; sig-cindermole-royal-mandate=Royal Mandate; general-fortify=Fortify; cindermole_0=Cinder Cinderbite; cindermole_1=Cinder Pounce; cindermole_2=Cinder Wild Lunge; cindermole_3=Cinder Ash Veil; cindermole_4=Cinder Boulder Toss,sig-cindermole-queen-s-sting; sig-cindermole-brood-call; sig-cindermole-swarm-screen,hollow-1,24,24,Wild,3,100.0,60,15.0,"[{""id"": ""coins"", ""quantity"": 14, ""chanceBP"": 10000}, {""id"": ""echo:cindermole"", ""quantity"": 1, ""chanceBP"": 1500}]",2700,null,"[{""id"": ""amberresin"", ""name"": ""Amber Resin"", ""quantity"": 1, ""chanceBP"": 2500, ""use"": ""Warm lantern housings"", ""status"": ""PLANNED_NOT_LIVE""}]","Three coal-headed ants fit beneath overlapping shell plates, forming one stocky six-legged creature with three tiny faces.",Single supplied pose with transform-based motion; authored frame animation pending.,Supplied PNG integrated; commercial art/motion review pending,"[{""id"": ""hollow-1:cindermole"", ""map"": ""hollow-1"", ""mapName"": ""Copperleaf Forest"", ""level"": 24, ""spawnSlots"": 3, ""spawnChanceBP"": 10000, ""respawnSeconds"": 60, ""x"": 1329.6, ""y"": 4424.7, ""radiusWorldUnits"": 200}]"
sunscarab,Sunscarab,Invertebrate,Amber Hollow,Tank / Supp,Solar barrier tank,Tank,Fire,Int-Based,magic,944,24,44.44444444444444,2.25,5.6,12,innate-sunscarab,Solar Balance,"Above 50% HP, Sunscarab's healing output is 15% greater. At 50% HP or lower, healing it receives is 15% greater instead.",sig-sunscarab-sunpress=Sunpress; sig-sunscarab-crescent-carapace=Crescent Carapace; sig-sunscarab-dawnshell=Dawnshell; general-brace=Brace; general-basic-heal=Basic Heal; sunscarab_0=Solar Carapace; sunscarab_1=Solar Shell Bash; sunscarab_2=Solar Firefan; sunscarab_3=Solar Iron Ward; sunscarab_4=Solar Shellguard,sig-sunscarab-sunpress; sig-sunscarab-crescent-carapace; sig-sunscarab-dawnshell,hollow-1,26,26,Wild,15,100.0,0,15.0,"[{""id"": ""coins"", ""quantity"": 14, ""chanceBP"": 10000}, {""id"": ""echo:sunscarab"", ""quantity"": 1, ""chanceBP"": 1500}]",2900,null,"[{""id"": ""amberresin"", ""name"": ""Amber Resin"", ""quantity"": 1, ""chanceBP"": 2500, ""use"": ""Warm lantern housings"", ""status"": ""PLANNED_NOT_LIVE""}]","A low, polished scarab carries a broad circular back framed by two crescent wing cases, with a small calm face underneath.",Single supplied pose with transform-based motion; authored frame animation pending.,Supplied PNG integrated; commercial art/motion review pending,"[{""id"": ""hollow-1:sunscarab"", ""map"": ""hollow-1"", ""mapName"": ""Copperleaf Forest"", ""level"": 26, ""spawnSlots"": 15, ""spawnChanceBP"": 10000, ""respawnSeconds"": 0, ""x"": 3324, ""y"": 2469.6, ""radiusWorldUnits"": 200}]"
embersalam,Puffiend,Demon / fiend,Amber Hollow,DPS / Supp,Ranged pressure disruptor,Ranged DPS,Fire,Dex-Based,ranged,537,39,54.05405405405405,1.85,8,34,innate-embersalam,Puffed Cheeks,"At battle start and after each damaging 12s-slot cast, gain 2 Puffs. A basic attack spends one Puff for +0.30 ATK physical damage; maximum 2.",sig-embersalam-cinder-spit=Cinder Spit; sig-embersalam-cheekguard=Cheekguard; sig-embersalam-popgun-barrage=Popgun Barrage; general-battle-rhythm=Battle Rhythm; embersalam_0=Ember Scorch; embersalam_1=Ember Fireball; embersalam_2=Ember Ember Breath; embersalam_3=Ember Ash Veil; embersalam_4=Ember Wingdraft,sig-embersalam-cinder-spit; sig-embersalam-cheekguard; sig-embersalam-popgun-barrage,hollow-1,28,28,Wild,15,100.0,0,15.0,"[{""id"": ""coins"", ""quantity"": 15, ""chanceBP"": 10000}, {""id"": ""echo:embersalam"", ""quantity"": 1, ""chanceBP"": 1500}]",3100,null,"[{""id"": ""amberresin"", ""name"": ""Amber Resin"", ""quantity"": 1, ""chanceBP"": 2500, ""use"": ""Warm lantern housings"", ""status"": ""PLANNED_NOT_LIVE""}]","A puffed-up coal imp has huge round cheeks, two short horn-shaped vents and little hands planted proudly on its hips.",Single supplied pose with transform-based motion; authored frame animation pending.,Supplied PNG integrated; commercial art/motion review pending,"[{""id"": ""hollow-1:embersalam"", ""map"": ""hollow-1"", ""mapName"": ""Copperleaf Forest"", ""level"": 28, ""spawnSlots"": 15, ""spawnChanceBP"": 10000, ""respawnSeconds"": 0, ""x"": 7645.2, ""y"": 3807.2999999999997, ""radiusWorldUnits"": 200}]"
ochrewisp,Casketot,Haunted object,Amber Hollow,Tank,Retreat-and-guard tank,Support,Earth,Int-Based,magic,485,22,51.948051948051955,1.9249999999999998,8,34,innate-ochrewisp,Soul Lining,"Take 15% less direct magic damage. The first enemy magical active that hits Casketot each battle also gives the trainer a 0.65 MATK shield for 3s, provided the trainer is still alive.",sig-ochrewisp-hinge-hex=Hinge Hex; sig-ochrewisp-close-the-lid=Close the Lid; sig-ochrewisp-safe-inside=Safe Inside; general-focused-attack=Focused Attack; general-fortify=Fortify; ochrewisp_0=Ochre Moondust; ochrewisp_1=Ochre Little Bloom; ochrewisp_2=Ochre Petal Ward; ochrewisp_3=Ochre Rootbind; ochrewisp_4=Ochre Fresh Start,sig-ochrewisp-hinge-hex; sig-ochrewisp-close-the-lid; sig-ochrewisp-safe-inside,hollow-2,22,30,Wild,15,100.0,0,15.0,"[{""id"": ""coins"", ""quantity"": 13, ""chanceBP"": 10000}, {""id"": ""echo:ochrewisp"", ""quantity"": 1, ""chanceBP"": 1500}]",2500,null,"[{""id"": ""amberresin"", ""name"": ""Amber Resin"", ""quantity"": 1, ""chanceBP"": 2500, ""use"": ""Warm lantern housings"", ""status"": ""PLANNED_NOT_LIVE""}]","A small rounded coffin has a shy face in its dark opening, soft spectral arms at its sides and two stubby wooden feet.",Single supplied pose with transform-based motion; authored frame animation pending.,Supplied PNG integrated; commercial art/motion review pending,"[{""id"": ""hollow-1:ochrewisp"", ""map"": ""hollow-2"", ""mapName"": ""Ghost Tower Entrance"", ""level"": 22, ""spawnSlots"": 15, ""spawnChanceBP"": 10000, ""respawnSeconds"": 0, ""x"": 8049.999999999999, ""y"": 7244.999999999999, ""radiusWorldUnits"": 200}, {""id"": ""ghost-tower-1:ochrewisp"", ""map"": ""ghost-tower-1"", ""mapName"": ""Ghost Tower · Floor 1"", ""level"": 23, ""spawnSlots"": 15, ""spawnChanceBP"": 10000, ""respawnSeconds"": 0, ""x"": 2700, ""y"": 2350, ""radiusWorldUnits"": 200}, {""id"": ""ghost-tower-2:ochrewisp"", ""map"": ""ghost-tower-2"", ""mapName"": ""Ghost Tower · Floor 2"", ""level"": 25, ""spawnSlots"": 15, ""spawnChanceBP"": 10000, ""respawnSeconds"": 0, ""x"": 2700, ""y"": 2350, ""radiusWorldUnits"": 200}, {""id"": ""ghost-tower-4:ochrewisp"", ""map"": ""ghost-tower-4"", ""mapName"": ""Ghost Tower · Floor 4 · Rooftop Cemetery"", ""level"": 28, ""spawnSlots"": 15, ""spawnChanceBP"": 10000, ""respawnSeconds"": 0, ""x"": 850, ""y"": 950, ""radiusWorldUnits"": 200}]"
